[08:16:10] [INFO] received Windows console close event; shutting log-core down
[01:16:35] [INFO] received Windows console close event; shutting log-core down
[11:46:08] [INFO] received Windows console close event; shutting log-core down
[12:09:08] [INFO] received Windows console close event; shutting log-core down
[12:31:02] [INFO] received Windows console close event; shutting log-core down
[12:34:55] [INFO] received Windows console close event; shutting log-core down
[12:36:07] [INFO] received Windows console close event; shutting log-core down
[12:58:32] [INFO] received Windows console close event; shutting log-core down
[13:18:05] [INFO] received Windows console close event; shutting log-core down
[13:19:43] [INFO] received Windows console close event; shutting log-core down
[13:21:59] [INFO] received Windows console close event; shutting log-core down
[13:30:14] [INFO] received Windows console close event; shutting log-core down
[13:38:42] [INFO] received Windows console close event; shutting log-core down
[17:25:06] [INFO] received Windows console close event; shutting log-core down
[17:28:53] [INFO] received Windows console close event; shutting log-core down
[17:35:19] [INFO] received Windows console close event; shutting log-core down
[18:20:53] [INFO] received Windows console close event; shutting log-core down
[18:25:50] [INFO] received Windows console close event; shutting log-core down
[18:26:22] [INFO] received Windows console close event; shutting log-core down
[18:31:23] [INFO] received Windows console close event; shutting log-core down
[18:31:56] [INFO] received Windows console close event; shutting log-core down
[18:38:06] [INFO] received Windows console close event; shutting log-core down
[18:40:55] [INFO] received Windows console close event; shutting log-core down
[18:49:12] [INFO] received Windows console close event; shutting log-core down
[18:50:56] [INFO] received Windows console close event; shutting log-core down
[18:54:24] [INFO] received Windows console close event; shutting log-core down
[18:58:36] [INFO] received Windows console close event; shutting log-core down
[19:00:08] [INFO] received Windows console close event; shutting log-core down
[05:18:59] [INFO] received Windows console close event; shutting log-core down
[06:22:40] [INFO] received Windows console close event; shutting log-core down
[06:25:13] [INFO] received Windows console close event; shutting log-core down
[06:41:39] [INFO] received Windows console close event; shutting log-core down
[06:43:15] [INFO] received Windows console close event; shutting log-core down
[07:56:00] [INFO] received Windows console close event; shutting log-core down
[09:54:13] [INFO] received Windows console close event; shutting log-core down
[10:18:29] [INFO] received Windows console close event; shutting log-core down
[10:20:46] [INFO] received Windows console close event; shutting log-core down
[10:28:57] [INFO] received Windows console close event; shutting log-core down
[11:16:57] [INFO] received Windows console close event; shutting log-core down
[11:20:23] [INFO] received Windows console close event; shutting log-core down
[11:24:42] [INFO] received Windows console close event; shutting log-core down
[11:27:04] [INFO] received Windows console close event; shutting log-core down
[11:28:59] [INFO] received Windows console close event; shutting log-core down
[11:30:21] [INFO] received Windows console close event; shutting log-core down
[11:35:23] [INFO] received Windows console close event; shutting log-core down
[11:49:45] [INFO] received Windows console close event; shutting log-core down
[11:52:32] [INFO] received Windows console close event; shutting log-core down
[11:54:00] [INFO] received Windows console close event; shutting log-core down
[11:54:34] [INFO] received Windows console close event; shutting log-core down
[11:57:01] [INFO] received Windows console close event; shutting log-core down
[13:10:02] [INFO] received Windows console close event; shutting log-core down
[13:22:05] [INFO] received Windows console close event; shutting log-core down
[07:14:37] [INFO] received Windows console close event; shutting log-core down
[07:25:59] [INFO] received Windows console close event; shutting log-core down
[07:30:12] [INFO] received Windows console close event; shutting log-core down
[07:35:35] [INFO] received Windows console close event; shutting log-core down
[10:34:29] [INFO] received Windows console close event; shutting log-core down
[14:19:49] [INFO] received Windows console close event; shutting log-core down
[07:51:32] [INFO] received Windows console close event; shutting log-core down
[07:55:57] [INFO] received Windows console close event; shutting log-core down
[08:04:55] [INFO] received Windows console close event; shutting log-core down
[08:09:50] [INFO] received Windows console close event; shutting log-core down
[08:13:11] [INFO] received Windows console close event; shutting log-core down
[08:18:54] [INFO] received Windows console close event; shutting log-core down
[08:31:06] [INFO] received Windows console close event; shutting log-core down
[08:35:02] [INFO] received Windows console close event; shutting log-core down
[08:36:32] [INFO] received Windows console close event; shutting log-core down
[08:39:14] [INFO] received Windows console close event; shutting log-core down
[08:42:01] [INFO] received Windows console close event; shutting log-core down
[08:44:14] [INFO] received Windows console close event; shutting log-core down
[08:47:11] [INFO] received Windows console close event; shutting log-core down
[11:25:29] [INFO] received Windows console close event; shutting log-core down
[06:10:45] [INFO] received Windows console close event; shutting log-core down
[06:10:46] [INFO] received Windows console close event; shutting log-core down
